age,path,split
20,AgeDB/409_SteveJobsb_20_m.jpg,train
20,AgeDB/122_MickJagger_20_m.jpg,train
20,AgeDB/5514_NicolasSarkozy_20_m.jpg,train
20,AgeDB/15993_MuhammadAli_20_m.jpg,train
20,AgeDB/12791_MargaretOBrien_20_f.jpg,train
20,AgeDB/150_PaulmcCartney_20_m.jpg,train
20,AgeDB/14241_JanetGaynor_20_f.jpg,train
20,AgeDB/15664_KathrynGrayson_20_f.jpg,train
20,AgeDB/5514_NicolasSarkozy_20_m.jpg,train
20,AgeDB/6474_JohnnyCash_20_m.jpg,train
20,AgeDB/2699_KevinBacon_20_m.jpg,train
20,AgeDB/2653_JerryLewis_20_m.jpg,train
20,AgeDB/5514_NicolasSarkozy_20_m.jpg,train
20,AgeDB/2359_AbeVigoda_20_m.jpg,train
20,AgeDB/10602_LindaEvans_20_f.jpg,train
20,AgeDB/14272_JoanCrawford_20_f.jpg,train
20,AgeDB/1618_AlPacino_20_m.jpg,train
20,AgeDB/146_PaulmcCartney_20_m.jpg,train
20,AgeDB/16182_BillCosby_20_m.jpg,train
20,AgeDB/187_JhonLenon_20_m.jpg,train
20,AgeDB/5299_JackLemon_20_m.jpg,train
20,AgeDB/14789_SilvanaMangano_20_f.jpg,train
20,AgeDB/14007_GloriaSwanson_20_f.jpg,train
20,AgeDB/6197_DickieMoore_20_m.jpg,train
20,AgeDB/5339_JohnDerek_20_m.jpg,train
20,AgeDB/4343_RalphMacchio_20_m.jpg,train
20,AgeDB/1592_AlCorley_20_m.jpg,train
20,AgeDB/5299_JackLemon_20_m.jpg,train
20,AgeDB/7901_FredAstaire_20_m.jpg,train
20,AgeDB/5339_JohnDerek_20_m.jpg,train
20,AgeDB/7901_FredAstaire_20_m.jpg,train
20,AgeDB/4301_KirkDouglas_20_m.jpg,train
20,AgeDB/12131_FrancescaAnnis_20_f.jpg,train
20,AgeDB/8461_WilliamHolden_20_m.jpg,train
20,AgeDB/13638_JuneAllyson_20_f.jpg,train
20,AgeDB/6176_DenzelWashington_20_m.jpg,train
20,AgeDB/11590_MargeChampion_20_f.jpg,train
20,AgeDB/834_HarrySTruman_20_m.jpg,train
20,AgeDB/1056_EnricoFermi_20_m.jpg,train
20,AgeDB/12671_JamieLeeCurtis_20_f.jpg,train
20,AgeDB/12331_MyrnaLoy_20_f.jpg,train
20,AgeDB/6474_JohnnyCash_20_m.jpg,train
20,AgeDB/11090_JodieFoster_20_f.jpg,train
20,AgeDB/11650_MaureenOHara_20_f.jpg,train
20,AgeDB/4343_RalphMacchio_20_m.jpg,train
20,AgeDB/12642_IsabelleHuppert_20_f.jpg,train
20,AgeDB/14858_BernadetteLafont_20_f.jpg,train
20,AgeDB/13085_GretaGarbo_20_f.jpg,train
20,AgeDB/11428_CyndiLauper_20_f.jpg,train
20,AgeDB/15006_AnnMiller_20_f.jpg,train
20,AgeDB/6176_DenzelWashington_20_m.jpg,train
20,AgeDB/6744_RockHudson_20_m.jpg,train
20,AgeDB/988_CarlSagan_20_m.jpg,train
20,AgeDB/2700_KevinBacon_20_m.jpg,train
20,AgeDB/13458_GingerRogers_20_f.jpg,train
20,AgeDB/12131_FrancescaAnnis_20_f.jpg,train
20,AgeDB/11566_LaurenBacall_20_f.jpg,train
20,AgeDB/15576_KateOMara_20_f.jpg,train
20,AgeDB/853_mahatmagandhi_20_m.jpg,train
20,AgeDB/14007_GloriaSwanson_20_f.jpg,train
20,AgeDB/14388_MaryPickford_20_f.jpg,train
20,AgeDB/13458_GingerRogers_20_f.jpg,train
20,AgeDB/12460_AnnaMassey_20_f.jpg,train
20,AgeDB/13076_GraceKelly_20_f.jpg,train
20,AgeDB/122_MickJagger_20_m.jpg,train
